id,name,attribute,level,type,atk,def,passcode,frameType
10014,Tour Bus From the Underworld,DARK,3,Fiend,1000,1000,52823314,effect
10015,White Dragon Ninja,LIGHT,7,Dragon,2700,1200,99212922,effect
10016,Interplanetarypurplythorny Dragon,DARK,5,Dragon,2200,1100,25206027,effect
10017,Inzektor Hopper,DARK,4,Insect,1700,1400,52601736,effect
10018,Evoltile Najasho,FIRE,2,Reptile,100,2000,88095331,effect
10019,Wind-Up Shark,WATER,4,Fish,1500,1300,25484449,effect
10024,Wattaildragon,LIGHT,6,Dragon,2500,1000,87151205,normal
10025,Hieratic Seal of the Sun Dragon Overlord,LIGHT,8,Dragon,0,0,13140300,normal
10026,Overlay Owl,WIND,4,Winged Beast,800,1600,59644958,effect
10027,Tasuke Knight,LIGHT,4,Warrior,1700,100,86039057,effect
10028,Gagaga Gardna,EARTH,4,Warrior,1500,2000,12423762,effect
10029,Cardcar D,EARTH,2,Machine,800,400,45812361,effect
10030,Overlay Eater,LIGHT,2,Reptile,300,800,81816475,effect
10031,Hammer Shark,WATER,4,Fish,1700,1500,17201174,effect
10032,Hammer Bounzer,EARTH,6,Warrior,2300,2000,44790889,effect
10033,Blade Bounzer,EARTH,4,Warrior,1800,1400,70194827,effect
10034,Phantom Bounzer,DARK,6,Warrior,2400,1200,17189532,effect
10035,Morpho Butterspy,DARK,4,Warrior,1200,1600,43573231,effect
10036,Swallowtail Butterspy,DARK,4,Warrior,1800,1200,79972330,effect
10037,Moonlit Papillon,LIGHT,4,Insect,1200,1600,16366944,effect
10038,Jumbo Drill,EARTH,4,Machine,1800,100,42851643,effect
10039,Rocket Arrow Express,EARTH,10,Machine,5000,0,79850798,effect
10040,Cameraclops,LIGHT,4,Warrior,1400,1600,5244497,effect
10041,Hieratic Dragon of Nuit,LIGHT,4,Dragon,1700,900,41639001,effect
10042,Hieratic Dragon of Gebeb,LIGHT,4,Dragon,1800,400,78033100,effect
10043,Hieratic Dragon of Eset,LIGHT,5,Dragon,1900,1200,4022819,effect
10044,Hieratic Dragon of Nebthet,LIGHT,5,Dragon,2000,1600,31516413,effect
